MATCHUP,GAME_ID,SEASON
03/11/2020 Knicks at Hawks,0021900969,2019-20
03/09/2020 Hornets at Hawks,0021900957,2019-20
03/07/2020 Hawks at Grizzlies,0021900943,2019-20
03/06/2020 Hawks at Wizards,0021900930,2019-20
03/02/2020 Grizzlies at Hawks,0021900905,2019-20
02/29/2020 Trail Blazers at Hawks,0021900888,2019-20
02/28/2020 Nets at Hawks,0021900878,2019-20
02/26/2020 Magic at Hawks,0021900867,2019-20
02/24/2020 Hawks at 76ers,0021900850,2019-20
02/22/2020 Mavericks at Hawks,0021900837,2019-20
02/20/2020 Heat at Hawks,0021900821,2019-20
02/12/2020 Hawks at Cavaliers,0021900807,2019-20
02/10/2020 Hawks at Magic,0021900795,2019-20
02/09/2020 Knicks at Hawks,0021900787,2019-20
02/07/2020 Hawks at Celtics,0021900771,2019-20
02/05/2020 Hawks at Timberwolves,0021900759,2019-20
02/03/2020 Celtics at Hawks,0021900745,2019-20
02/01/2020 Hawks at Mavericks,0021900733,2019-20
01/30/2020 76ers at Hawks,0021900716,2019-20
01/28/2020 Hawks at Raptors,0021900703,2019-20
01/26/2020 Wizards at Hawks,0021900687,2019-20
01/24/2020 Hawks at Thunder,0021900677,2019-20
01/22/2020 Clippers at Hawks,0021900656,2019-20
01/20/2020 Raptors at Hawks,0021900640,2019-20
01/18/2020 Pistons at Hawks,0021900629,2019-20
01/17/2020 Hawks at Spurs,0021900624,2019-20
01/14/2020 Suns at Hawks,0021900598,2019-20
01/12/2020 Hawks at Nets,0021900586,2019-20
01/10/2020 Hawks at Wizards,0021900567,2019-20
01/08/2020 Rockets at Hawks,0021900558,2019-20
01/06/2020 Nuggets at Hawks,0021900543,2019-20
01/04/2020 Pacers at Hawks,0021900526,2019-20
01/03/2020 Hawks at Celtics,0021900517,2019-20
12/30/2019 Hawks at Magic,0021900491,2019-20
12/28/2019 Hawks at Bulls,0021900477,2019-20
12/27/2019 Bucks at Hawks,0021900469,2019-20
12/23/2019 Hawks at Cavaliers,0021900444,2019-20
12/21/2019 Hawks at Nets,0021900431,2019-20
12/19/2019 Jazz at Hawks,0021900416,2019-20
12/17/2019 Hawks at Knicks,0021900403,2019-20
12/15/2019 Lakers at Hawks,0021900390,2019-20
12/13/2019 Pacers at Hawks,0021900373,2019-20
12/11/2019 Hawks at Bulls,0021900361,2019-20
12/10/2019 Hawks at Heat,0021900354,2019-20
12/08/2019 Hawks at Hornets,0021900336,2019-20
12/04/2019 Nets at Hawks,0021900309,2019-20
12/02/2019 Warriors at Hawks,0021900295,2019-20
11/30/2019 Hawks at Rockets,0021900282,2019-20
11/29/2019 Hawks at Pacers,0021900272,2019-20
11/27/2019 Hawks at Bucks,0021900261,2019-20
11/25/2019 Timberwolves at Hawks,0021900243,2019-20
11/23/2019 Raptors at Hawks,0021900228,2019-20
11/22/2019 Hawks at Pistons,0021900215,2019-20
11/20/2019 Bucks at Hawks,0021900204,2019-20
11/17/2019 Hawks at Lakers,0021900188,2019-20
11/16/2019 Hawks at Clippers,0021900182,2019-20
11/14/2019 Hawks at Suns,0021900165,2019-20
11/12/2019 Hawks at Nuggets,0021900150,2019-20
11/10/2019 Hawks at Trail Blazers,0021900138,2019-20
11/08/2019 Kings at Hawks,0021900119,2019-20
11/06/2019 Bulls at Hawks,0021900105,2019-20
11/05/2019 Spurs at Hawks,0021900099,2019-20
10/31/2019 Heat at Hawks,0021900066,2019-20
10/29/2019 Hawks at Heat,0021900052,2019-20
10/28/2019 76ers at Hawks,0021900043,2019-20
10/26/2019 Magic at Hawks,0021900028,2019-20
10/24/2019 Hawks at Pistons,0021900014,2019-20
08/13/2020 Wizards at Celtics,0021901308,2019-20
08/11/2020 Celtics at Grizzlies,0021901301,2019-20
08/09/2020 Magic at Celtics,0021901288,2019-20
08/07/2020 Celtics at Raptors,0021901279,2019-20
08/05/2020 Nets at Celtics,0021901267,2019-20
08/04/2020 Celtics at Heat,0021901260,2019-20
08/02/2020 Trail Blazers at Celtics,0021901245,2019-20
07/31/2020 Celtics at Bucks,0021901236,2019-20
03/10/2020 Celtics at Pacers,0021900960,2019-20
03/08/2020 Thunder at Celtics,0021900949,2019-20
03/06/2020 Jazz at Celtics,0021900933,2019-20
03/04/2020 Celtics at Cavaliers,0021900917,2019-20
03/03/2020 Nets at Celtics,0021900910,2019-20
02/29/2020 Rockets at Celtics,0021900892,2019-20
02/26/2020 Celtics at Jazz,0021900872,2019-20
02/25/2020 Celtics at Trail Blazers,0021900862,2019-20
02/23/2020 Celtics at Lakers,0021900842,2019-20
02/21/2020 Celtics at Timberwolves,0021900830,2019-20
02/13/2020 Clippers at Celtics,0021900818,2019-20
02/11/2020 Celtics at Rockets,0021900806,2019-20
02/09/2020 Celtics at Thunder,0021900786,2019-20
02/07/2020 Hawks at Celtics,0021900771,2019-20
02/05/2020 Magic at Celtics,0021900756,2019-20
02/03/2020 Celtics at Hawks,0021900745,2019-20
02/01/2020 76ers at Celtics,0021900732,2019-20
01/30/2020 Warriors at Celtics,0021900717,2019-20
01/28/2020 Celtics at Heat,0021900701,2019-20
01/26/2020 Celtics at Pelicans,0021900691,2019-20
01/24/2020 Celtics at Magic,0021900671,2019-20
01/22/2020 Grizzlies at Celtics,0021900657,2019-20
01/20/2020 Lakers at Celtics,0021900648,2019-20
01/18/2020 Suns at Celtics,0021900628,2019-20
01/16/2020 Celtics at Bucks,0021900615,2019-20
01/15/2020 Pistons at Celtics,0021900604,2019-20
01/13/2020 Bulls at Celtics,0021900593,2019-20
01/11/2020 Pelicans at Celtics,0021900578,2019-20
01/09/2020 Celtics at 76ers,0021900564,2019-20
01/08/2020 Spurs at Celtics,0021900554,2019-20
01/06/2020 Celtics at Wizards,0021900542,2019-20
01/04/2020 Celtics at Bulls,0021900529,2019-20
01/03/2020 Hawks at Celtics,0021900517,2019-20
12/31/2019 Celtics at Hornets,0021900497,2019-20
12/28/2019 Raptors at Celtics,0021900473,2019-20
12/27/2019 Cavaliers at Celtics,0021900466,2019-20
12/25/2019 Celtics at Raptors,0021900455,2019-20
12/22/2019 Hornets at Celtics,0021900440,2019-20
12/20/2019 Pistons at Celtics,0021900422,2019-20
12/18/2019 Celtics at Mavericks,0021900413,2019-20
12/12/2019 76ers at Celtics,0021900367,2019-20
12/11/2019 Celtics at Pacers,0021900357,2019-20
12/09/2019 Cavaliers at Celtics,0021900344,2019-20
12/06/2019 Nuggets at Celtics,0021900323,2019-20
12/04/2019 Heat at Celtics,0021900310,2019-20
12/01/2019 Celtics at Knicks,0021900285,2019-20
11/29/2019 Celtics at Nets,0021900267,2019-20
11/27/2019 Nets at Celtics,0021900253,2019-20
11/25/2019 Kings at Celtics,0021900244,2019-20
11/22/2019 Celtics at Nuggets,0021900222,2019-20
11/20/2019 Celtics at Clippers,0021900212,2019-20
11/18/2019 Celtics at Suns,0021900195,2019-20
11/17/2019 Celtics at Kings,0021900184,2019-20
11/15/2019 Celtics at Warriors,0021900173,2019-20
11/13/2019 Wizards at Celtics,0021900156,2019-20
11/11/2019 Mavericks at Celtics,0021900141,2019-20
11/09/2019 Celtics at Spurs,0021900127,2019-20
11/07/2019 Celtics at Hornets,0021900112,2019-20
11/05/2019 Celtics at Cavaliers,0021900098,2019-20
11/01/2019 Knicks at Celtics,0021900072,2019-20
10/30/2019 Bucks at Celtics,0021900058,2019-20
10/26/2019 Celtics at Knicks,0021900029,2019-20
10/25/2019 Raptors at Celtics,0021900017,2019-20
10/23/2019 Celtics at 76ers,0021900008,2019-20
03/10/2020 Cavaliers at Bulls,0021900962,2019-20
03/08/2020 Spurs at Cavaliers,0021900954,2019-20
03/07/2020 Nuggets at Cavaliers,0021900942,2019-20
03/04/2020 Celtics at Cavaliers,0021900917,2019-20
03/02/2020 Jazz at Cavaliers,0021900902,2019-20
02/29/2020 Pacers at Cavaliers,0021900890,2019-20
02/28/2020 Cavaliers at Pelicans,0021900883,2019-20
02/26/2020 76ers at Cavaliers,0021900865,2019-20
02/24/2020 Heat at Cavaliers,0021900849,2019-20
02/22/2020 Cavaliers at Heat,0021900838,2019-20
02/21/2020 Cavaliers at Wizards,0021900827,2019-20
02/12/2020 Hawks at Cavaliers,0021900807,2019-20
02/09/2020 Clippers at Cavaliers,0021900791,2019-20
02/05/2020 Cavaliers at Thunder,0021900760,2019-20
02/03/2020 Knicks at Cavaliers,0021900742,2019-20
02/01/2020 Warriors at Cavaliers,0021900730,2019-20
01/30/2020 Raptors at Cavaliers,0021900714,2019-20
01/28/2020 Pelicans at Cavaliers,0021900700,2019-20
01/27/2020 Cavaliers at Pistons,0021900693,2019-20
01/25/2020 Bulls at Cavaliers,0021900682,2019-20
01/23/2020 Wizards at Cavaliers,0021900666,2019-20
01/20/2020 Knicks at Cavaliers,0021900643,2019-20
01/18/2020 Cavaliers at Bulls,0021900631,2019-20
01/17/2020 Cavaliers at Grizzlies,0021900622,2019-20
01/14/2020 Cavaliers at Clippers,0021900603,2019-20
01/13/2020 Cavaliers at Lakers,0021900597,2019-20
01/11/2020 Cavaliers at Nuggets,0021900582,2019-20
01/09/2020 Cavaliers at Pistons,0021900563,2019-20
01/07/2020 Pistons at Cavaliers,0021900548,2019-20
01/05/2020 Timberwolves at Cavaliers,0021900536,2019-20
01/04/2020 Thunder at Cavaliers,0021900527,2019-20
01/02/2020 Hornets at Cavaliers,0021900508,2019-20
12/31/2019 Cavaliers at Raptors,0021900500,2019-20
12/28/2019 Cavaliers at Timberwolves,0021900479,2019-20
12/27/2019 Cavaliers at Celtics,0021900466,2019-20
12/23/2019 Hawks at Cavaliers,0021900444,2019-20
12/20/2019 Grizzlies at Cavaliers,0021900420,2019-20
12/18/2019 Hornets at Cavaliers,0021900407,2019-20
12/16/2019 Cavaliers at Raptors,0021900395,2019-20
12/14/2019 Cavaliers at Bucks,0021900385,2019-20
12/12/2019 Cavaliers at Spurs,0021900368,2019-20
12/11/2019 Rockets at Cavaliers,0021900356,2019-20
12/09/2019 Cavaliers at Celtics,0021900344,2019-20
12/07/2019 Cavaliers at 76ers,0021900332,2019-20
12/06/2019 Magic at Cavaliers,0021900321,2019-20
12/03/2019 Pistons at Cavaliers,0021900299,2019-20
11/29/2019 Bucks at Cavaliers,0021900270,2019-20
11/27/2019 Magic at Cavaliers,0021900255,2019-20
11/25/2019 Nets at Cavaliers,0021900240,2019-20
11/23/2019 Trail Blazers at Cavaliers,0021900231,2019-20
11/22/2019 Cavaliers at Mavericks,0021900221,2019-20
11/20/2019 Cavaliers at Heat,0021900206,2019-20
11/18/2019 Cavaliers at Knicks,0021900189,2019-20
11/17/2019 76ers at Cavaliers,0021900183,2019-20
11/14/2019 Heat at Cavaliers,0021900161,2019-20
11/12/2019 Cavaliers at 76ers,0021900147,2019-20
11/10/2019 Cavaliers at Knicks,0021900136,2019-20
11/08/2019 Cavaliers at Wizards,0021900118,2019-20
11/05/2019 Celtics at Cavaliers,0021900098,2019-20
11/03/2019 Mavericks at Cavaliers,0021900089,2019-20
11/01/2019 Cavaliers at Pacers,0021900070,2019-20
10/30/2019 Bulls at Cavaliers,0021900055,2019-20
10/28/2019 Cavaliers at Bucks,0021900046,2019-20
10/26/2019 Pacers at Cavaliers,0021900030,2019-20
10/23/2019 Cavaliers at Magic,0021900005,2019-20
08/13/2020 Pelicans at Magic,0021901312,2019-20
08/11/2020 Pelicans at Kings,0021901302,2019-20
08/09/2020 Spurs at Pelicans,0021901287,2019-20
08/07/2020 Wizards at Pelicans,0021901278,2019-20
08/06/2020 Pelicans at Kings,0021901268,2019-20
08/03/2020 Grizzlies at Pelicans,0021901253,2019-20
08/01/2020 Pelicans at Clippers,0021901241,2019-20
07/30/2020 Jazz at Pelicans,0021901231,2019-20
03/08/2020 Pelicans at Timberwolves,0021900947,2019-20
03/06/2020 Heat at Pelicans,0021900936,2019-20
03/04/2020 Pelicans at Mavericks,0021900923,2019-20
03/03/2020 Timberwolves at Pelicans,0021900911,2019-20
03/01/2020 Lakers at Pelicans,0021900900,2019-20
02/28/2020 Cavaliers at Pelicans,0021900883,2019-20
02/25/2020 Pelicans at Lakers,0021900861,2019-20
02/23/2020 Pelicans at Warriors,0021900847,2019-20
02/21/2020 Pelicans at Trail Blazers,0021900834,2019-20
02/13/2020 Thunder at Pelicans,0021900819,2019-20
02/11/2020 Trail Blazers at Pelicans,0021900804,2019-20
02/08/2020 Pelicans at Pacers,0021900780,2019-20
02/06/2020 Pelicans at Bulls,0021900765,2019-20
02/04/2020 Bucks at Pelicans,0021900751,2019-20
02/02/2020 Pelicans at Rockets,0021900738,2019-20
01/31/2020 Grizzlies at Pelicans,0021900723,2019-20
01/28/2020 Pelicans at Cavaliers,0021900700,2019-20
01/26/2020 Celtics at Pelicans,0021900691,2019-20
01/24/2020 Nuggets at Pelicans,0021900676,2019-20
01/22/2020 Spurs at Pelicans,0021900663,2019-20
01/20/2020 Pelicans at Grizzlies,0021900646,2019-20
01/18/2020 Clippers at Pelicans,0021900626,2019-20
01/16/2020 Jazz at Pelicans,0021900616,2019-20
01/13/2020 Pelicans at Pistons,0021900591,2019-20
01/11/2020 Pelicans at Celtics,0021900578,2019-20
01/10/2020 Pelicans at Knicks,0021900569,2019-20
01/08/2020 Bulls at Pelicans,0021900560,2019-20
01/06/2020 Jazz at Pelicans,0021900544,2019-20
01/04/2020 Pelicans at Kings,0021900533,2019-20
01/03/2020 Pelicans at Lakers,0021900522,2019-20
12/29/2019 Rockets at Pelicans,0021900488,2019-20
12/28/2019 Pacers at Pelicans,0021900474,2019-20
12/25/2019 Pelicans at Nuggets,0021900459,2019-20
12/23/2019 Pelicans at Trail Blazers,0021900452,2019-20
12/20/2019 Pelicans at Warriors,0021900429,2019-20
12/18/2019 Pelicans at Timberwolves,0021900411,2019-20
12/17/2019 Nets at Pelicans,0021900404,2019-20
12/15/2019 Magic at Pelicans,0021900388,2019-20
12/13/2019 Pelicans at 76ers,0021900372,2019-20
12/11/2019 Pelicans at Bucks,0021900364,2019-20
12/09/2019 Pistons at Pelicans,0021900348,2019-20
12/07/2019 Pelicans at Mavericks,0021900330,2019-20
12/05/2019 Suns at Pelicans,0021900319,2019-20
12/03/2019 Mavericks at Pelicans,0021900302,2019-20
12/01/2019 Thunder at Pelicans,0021900289,2019-20
11/29/2019 Pelicans at Thunder,0021900275,2019-20
11/27/2019 Lakers at Pelicans,0021900264,2019-20
11/24/2019 Pelicans at Clippers,0021900239,2019-20
11/23/2019 Pelicans at Jazz,0021900234,2019-20
11/21/2019 Pelicans at Suns,0021900214,2019-20
11/19/2019 Trail Blazers at Pelicans,0021900199,2019-20
11/17/2019 Warriors at Pelicans,0021900187,2019-20
11/16/2019 Pelicans at Heat,0021900178,2019-20
11/14/2019 Clippers at Pelicans,0021900164,2019-20
11/11/2019 Rockets at Pelicans,0021900142,2019-20
11/09/2019 Pelicans at Hornets,0021900128,2019-20
11/08/2019 Raptors at Pelicans,0021900121,2019-20
11/04/2019 Pelicans at Nets,0021900092,2019-20
11/02/2019 Pelicans at Thunder,0021900077,2019-20
10/31/2019 Nuggets at Pelicans,0021900067,2019-20
10/28/2019 Warriors at Pelicans,0021900047,2019-20
10/26/2019 Pelicans at Rockets,0021900032,2019-20
10/25/2019 Mavericks at Pelicans,0021900021,2019-20
10/22/2019 Pelicans at Raptors,0021900001,2019-20
03/10/2020 Cavaliers at Bulls,0021900962,2019-20
03/08/2020 Bulls at Nets,0021900946,2019-20
03/06/2020 Pacers at Bulls,0021900934,2019-20
03/04/2020 Bulls at Timberwolves,0021900922,2019-20
03/02/2020 Mavericks at Bulls,0021900907,2019-20
02/29/2020 Bulls at Knicks,0021900887,2019-20
02/25/2020 Thunder at Bulls,0021900859,2019-20
02/23/2020 Wizards at Bulls,0021900845,2019-20
02/22/2020 Suns at Bulls,0021900839,2019-20
02/20/2020 Hornets at Bulls,0021900823,2019-20
02/11/2020 Bulls at Wizards,0021900803,2019-20
02/09/2020 Bulls at 76ers,0021900788,2019-20
02/06/2020 Pelicans at Bulls,0021900765,2019-20
02/02/2020 Bulls at Raptors,0021900740,2019-20
01/31/2020 Bulls at Nets,0021900721,2019-20
01/29/2020 Bulls at Pacers,0021900708,2019-20
01/27/2020 Spurs at Bulls,0021900695,2019-20
01/25/2020 Bulls at Cavaliers,0021900682,2019-20
01/24/2020 Kings at Bulls,0021900674,2019-20
01/22/2020 Timberwolves at Bulls,0021900661,2019-20
01/20/2020 Bulls at Bucks,0021900647,2019-20
01/18/2020 Cavaliers at Bulls,0021900631,2019-20
01/17/2020 Bulls at 76ers,0021900620,2019-20
01/15/2020 Wizards at Bulls,0021900607,2019-20
