MATCHUP,GAME_ID,SEASON
11/10/2025 Hawks at Clippers,0022500206,2025-26
11/08/2025 Lakers at Hawks,0022500185,2025-26
11/07/2025 Raptors at Hawks,0022500030,2025-26
11/04/2025 Magic at Hawks,0022500166,2025-26
11/02/2025 Hawks at Cavaliers,0022500151,2025-26
10/31/2025 Hawks at Pacers,0022500020,2025-26
10/29/2025 Hawks at Nets,0022500130,2025-26
10/27/2025 Hawks at Bulls,0022500115,2025-26
10/25/2025 Thunder at Hawks,0022500101,2025-26
10/24/2025 Hawks at Magic,0022500090,2025-26
10/22/2025 Raptors at Hawks,0022500082,2025-26
11/11/2025 Celtics at 76ers,0022500209,2025-26
11/09/2025 Celtics at Magic,0022500193,2025-26
11/07/2025 Celtics at Magic,0022500028,2025-26
11/05/2025 Wizards at Celtics,0022500174,2025-26
11/03/2025 Jazz at Celtics,0022500158,2025-26
11/01/2025 Rockets at Celtics,0022500146,2025-26
10/31/2025 Celtics at 76ers,0022500021,2025-26
10/29/2025 Cavaliers at Celtics,0022500128,2025-26
10/27/2025 Celtics at Pelicans,0022500117,2025-26
10/26/2025 Celtics at Pistons,0022500106,2025-26
10/24/2025 Celtics at Knicks,0022500018,2025-26
10/22/2025 76ers at Celtics,0022500083,2025-26
11/10/2025 Cavaliers at Heat,0022500201,2025-26
11/08/2025 Bulls at Cavaliers,0022500186,2025-26
11/07/2025 Cavaliers at Wizards,0022500029,2025-26
11/05/2025 76ers at Cavaliers,0022500171,2025-26
11/02/2025 Hawks at Cavaliers,0022500151,2025-26
10/31/2025 Raptors at Cavaliers,0022500022,2025-26
10/29/2025 Cavaliers at Celtics,0022500128,2025-26
10/27/2025 Cavaliers at Pistons,0022500007,2025-26
10/26/2025 Bucks at Cavaliers,0022500107,2025-26
10/24/2025 Cavaliers at Nets,0022500091,2025-26
10/22/2025 Cavaliers at Knicks,0022500003,2025-26
11/10/2025 Pelicans at Suns,0022500204,2025-26
11/08/2025 Pelicans at Spurs,0022500188,2025-26
11/05/2025 Pelicans at Mavericks,0022500177,2025-26
11/04/2025 Hornets at Pelicans,0022500168,2025-26
11/02/2025 Pelicans at Thunder,0022500148,2025-26
10/31/2025 Pelicans at Clippers,0022500027,2025-26
10/29/2025 Pelicans at Nuggets,0022500134,2025-26
10/27/2025 Celtics at Pelicans,0022500117,2025-26
10/24/2025 Spurs at Pelicans,0022500095,2025-26
10/22/2025 Pelicans at Grizzlies,0022500085,2025-26
11/10/2025 Spurs at Bulls,0022500202,2025-26
11/08/2025 Bulls at Cavaliers,0022500186,2025-26
11/07/2025 Bulls at Bucks,0022500035,2025-26
11/04/2025 76ers at Bulls,0022500167,2025-26
11/02/2025 Bulls at Knicks,0022500153,2025-26
10/31/2025 Knicks at Bulls,0022500023,2025-26
10/29/2025 Kings at Bulls,0022500132,2025-26
10/27/2025 Hawks at Bulls,0022500115,2025-26
10/25/2025 Bulls at Magic,0022500100,2025-26
10/22/2025 Pistons at Bulls,0022500084,2025-26
11/10/2025 Bucks at Mavericks,0022500203,2025-26
11/08/2025 Mavericks at Wizards,0022500183,2025-26
11/07/2025 Mavericks at Grizzlies,0022500034,2025-26
11/05/2025 Pelicans at Mavericks,0022500177,2025-26
11/03/2025 Mavericks at Rockets,0022500160,2025-26
11/01/2025 Mavericks at Pistons,0022500147,2025-26
10/29/2025 Pacers at Mavericks,0022500133,2025-26
10/27/2025 Thunder at Mavericks,0022500119,2025-26
10/26/2025 Raptors at Mavericks,0022500111,2025-26
10/24/2025 Wizards at Mavericks,0022500096,2025-26
10/22/2025 Spurs at Mavericks,0022500004,2025-26
11/11/2025 Nuggets at Kings,0022500212,2025-26
11/08/2025 Pacers at Nuggets,0022500189,2025-26
11/07/2025 Warriors at Nuggets,0022500037,2025-26
11/05/2025 Heat at Nuggets,0022500178,2025-26
11/03/2025 Kings at Nuggets,0022500162,2025-26
10/31/2025 Nuggets at Trail Blazers,0022500026,2025-26
10/29/2025 Pelicans at Nuggets,0022500134,2025-26
10/27/2025 Nuggets at Timberwolves,0022500008,2025-26
10/25/2025 Suns at Nuggets,0022500104,2025-26
10/23/2025 Nuggets at Warriors,0022500006,2025-26
11/11/2025 Warriors at Thunder,0022500210,2025-26
11/09/2025 Pacers at Warriors,0022500196,2025-26
11/07/2025 Warriors at Nuggets,0022500037,2025-26
11/05/2025 Warriors at Kings,0022500181,2025-26
