MATCHUP,GAME_ID,SEASON
04/10/2022 Hawks at Rockets,0022101221,2021-22
04/08/2022 Hawks at Heat,0022101207,2021-22
04/06/2022 Wizards at Hawks,0022101192,2021-22
04/05/2022 Hawks at Raptors,0022101182,2021-22
04/02/2022 Nets at Hawks,0022101163,2021-22
03/31/2022 Cavaliers at Hawks,0022100452,2021-22
03/30/2022 Hawks at Thunder,0022101143,2021-22
03/28/2022 Hawks at Pacers,0022101124,2021-22
03/25/2022 Warriors at Hawks,0022101102,2021-22
03/23/2022 Hawks at Pistons,0022101085,2021-22
03/22/2022 Hawks at Knicks,0022101081,2021-22
03/20/2022 Pelicans at Hawks,0022101064,2021-22
03/18/2022 Grizzlies at Hawks,0022101047,2021-22
03/16/2022 Hawks at Hornets,0022101033,2021-22
03/14/2022 Trail Blazers at Hawks,0022101021,2021-22
03/13/2022 Pacers at Hawks,0022101016,2021-22
03/11/2022 Clippers at Hawks,0022100996,2021-22
03/09/2022 Hawks at Bucks,0022100984,2021-22
03/07/2022 Hawks at Pistons,0022100968,2021-22
03/04/2022 Hawks at Wizards,0022100948,2021-22
03/03/2022 Bulls at Hawks,0022100710,2021-22
03/01/2022 Hawks at Celtics,0022100927,2021-22
02/26/2022 Raptors at Hawks,0022100906,2021-22
02/24/2022 Hawks at Bulls,0022100891,2021-22
02/16/2022 Hawks at Magic,0022100874,2021-22
02/15/2022 Cavaliers at Hawks,0022100867,2021-22
02/13/2022 Hawks at Celtics,0022100856,2021-22
02/11/2022 Spurs at Hawks,0022100841,2021-22
02/08/2022 Pacers at Hawks,0022100816,2021-22
02/06/2022 Hawks at Mavericks,0022100807,2021-22
02/04/2022 Hawks at Raptors,0022100790,2021-22
02/03/2022 Suns at Hawks,0022100783,2021-22
01/31/2022 Raptors at Hawks,0022100767,2021-22
01/30/2022 Lakers at Hawks,0022100751,2021-22
01/28/2022 Celtics at Hawks,0022100737,2021-22
01/26/2022 Kings at Hawks,0022100725,2021-22
01/23/2022 Hawks at Hornets,0022100703,2021-22
01/21/2022 Heat at Hawks,0022100687,2021-22
01/19/2022 Timberwolves at Hawks,0022100670,2021-22
01/17/2022 Bucks at Hawks,0022100660,2021-22
01/15/2022 Knicks at Hawks,0022100643,2021-22
01/14/2022 Hawks at Heat,0022100636,2021-22
