MATCHUP,GAME_ID,SEASON
04/14/2024 Hawks at Pacers,0022301188,2023-24
04/12/2024 Hawks at Timberwolves,0022301178,2023-24
04/10/2024 Hornets at Hawks,0022301159,2023-24
04/09/2024 Heat at Hawks,0022301147,2023-24
04/06/2024 Hawks at Nuggets,0022301130,2023-24
04/04/2024 Hawks at Mavericks,0022301124,2023-24
04/03/2024 Pistons at Hawks,0022301104,2023-24
04/01/2024 Hawks at Bulls,0022301091,2023-24
03/30/2024 Bucks at Hawks,0022301076,2023-24
03/28/2024 Celtics at Hawks,0022301060,2023-24
03/27/2024 Trail Blazers at Hawks,0022301051,2023-24
03/25/2024 Celtics at Hawks,0022301034,2023-24
03/23/2024 Hornets at Hawks,0022301021,2023-24
03/21/2024 Hawks at Suns,0022301010,2023-24
03/18/2024 Hawks at Lakers,0022300990,2023-24
03/17/2024 Hawks at Clippers,0022300982,2023-24
03/15/2024 Hawks at Jazz,0022300966,2023-24
03/13/2024 Hawks at Trail Blazers,0022300953,2023-24
03/10/2024 Pelicans at Hawks,0022300925,2023-24
03/08/2024 Hawks at Grizzlies,0022300913,2023-24
03/06/2024 Cavaliers at Hawks,0022300895,2023-24
03/05/2024 Hawks at Knicks,0022300889,2023-24
03/02/2024 Hawks at Nets,0022300866,2023-24
02/29/2024 Hawks at Nets,0022300851,2023-24
02/27/2024 Jazz at Hawks,0022300835,2023-24
02/25/2024 Magic at Hawks,0022300821,2023-24
02/23/2024 Raptors at Hawks,0022300804,2023-24
02/14/2024 Hawks at Hornets,0022300777,2023-24
02/12/2024 Bulls at Hawks,0022300763,2023-24
02/10/2024 Rockets at Hawks,0022300754,2023-24
02/09/2024 Hawks at 76ers,0022300742,2023-24
02/07/2024 Hawks at Celtics,0022300729,2023-24
02/05/2024 Clippers at Hawks,0022300716,2023-24
02/03/2024 Warriors at Hawks,0022300699,2023-24
02/02/2024 Suns at Hawks,0022300690,2023-24
01/30/2024 Lakers at Hawks,0022300669,2023-24
