MATCHUP,GAME_ID,SEASON
04/09/2023 Hawks at Celtics,0022201216,2022-23
04/07/2023 76ers at Hawks,0022201205,2022-23
04/05/2023 Wizards at Hawks,0022201191,2022-23
04/04/2023 Hawks at Bulls,0022201182,2022-23
04/02/2023 Mavericks at Hawks,0022201167,2022-23
03/31/2023 Hawks at Nets,0022201153,2022-23
03/28/2023 Cavaliers at Hawks,0022201131,2022-23
03/26/2023 Grizzlies at Hawks,0022201115,2022-23
03/25/2023 Pacers at Hawks,0022201107,2022-23
03/22/2023 Hawks at Timberwolves,0022201090,2022-23
03/21/2023 Pistons at Hawks,0022201078,2022-23
03/19/2023 Hawks at Spurs,0022201065,2022-23
03/17/2023 Warriors at Hawks,0022201048,2022-23
03/13/2023 Timberwolves at Hawks,0022201021,2022-23
03/11/2023 Celtics at Hawks,0022201008,2022-23
03/10/2023 Hawks at Wizards,0022200999,2022-23
03/08/2023 Hawks at Wizards,0022200985,2022-23
03/06/2023 Hawks at Heat,0022200974,2022-23
03/04/2023 Hawks at Heat,0022200958,2022-23
03/03/2023 Trail Blazers at Hawks,0022200947,2022-23
02/28/2023 Wizards at Hawks,0022200923,2022-23
02/26/2023 Nets at Hawks,0022200911,2022-23
02/24/2023 Cavaliers at Hawks,0022200896,2022-23
02/15/2023 Knicks at Hawks,0022200876,2022-23
02/13/2023 Hawks at Hornets,0022200857,2022-23
02/11/2023 Spurs at Hawks,0022200850,2022-23
02/09/2023 Suns at Hawks,0022200832,2022-23
02/07/2023 Hawks at Pelicans,0022200818,2022-23
02/04/2023 Hawks at Nuggets,0022200801,2022-23
02/03/2023 Hawks at Jazz,0022200792,2022-23
02/01/2023 Hawks at Suns,0022200777,2022-23
01/30/2023 Hawks at Trail Blazers,0022200763,2022-23
01/28/2023 Clippers at Hawks,0022200745,2022-23
01/25/2023 Hawks at Thunder,0022200725,2022-23
01/23/2023 Hawks at Bulls,0022200708,2022-23
01/21/2023 Hornets at Hawks,0022200694,2022-23
01/20/2023 Knicks at Hawks,0022200684,2022-23
01/18/2023 Hawks at Mavericks,0022200670,2022-23
01/16/2023 Heat at Hawks,0022200661,2022-23
01/14/2023 Hawks at Raptors,0022200644,2022-23
01/13/2023 Hawks at Pacers,0022200633,2022-23
01/11/2023 Bucks at Hawks,0022200620,2022-23
01/08/2023 Hawks at Clippers,0022200604,2022-23
01/06/2023 Hawks at Lakers,0022200590,2022-23
01/04/2023 Hawks at Kings,0022200575,2022-23
01/02/2023 Hawks at Warriors,0022200558,2022-23
12/30/2022 Lakers at Hawks,0022200530,2022-23
12/28/2022 Nets at Hawks,0022200517,2022-23
12/27/2022 Hawks at Pacers,0022200508,2022-23
12/23/2022 Pistons at Hawks,0022200481,2022-23
12/21/2022 Bulls at Hawks,0022200468,2022-23
12/19/2022 Magic at Hawks,0022200454,2022-23
12/16/2022 Hawks at Hornets,0022200428,2022-23
12/14/2022 Hawks at Magic,0022200416,2022-23
12/12/2022 Hawks at Grizzlies,0022200404,2022-23
12/11/2022 Bulls at Hawks,0022200400,2022-23
12/09/2022 Hawks at Nets,0022200380,2022-23
12/07/2022 Hawks at Knicks,0022200365,2022-23
12/05/2022 Thunder at Hawks,0022200354,2022-23
12/02/2022 Nuggets at Hawks,0022200327,2022-23
11/30/2022 Hawks at Magic,0022200313,2022-23
11/28/2022 Hawks at 76ers,0022200299,2022-23
11/27/2022 Heat at Hawks,0022200293,2022-23
11/25/2022 Hawks at Rockets,0022200278,2022-23
11/23/2022 Kings at Hawks,0022200263,2022-23
11/21/2022 Hawks at Cavaliers,0022200248,2022-23
11/19/2022 Raptors at Hawks,0022200235,2022-23
11/16/2022 Celtics at Hawks,0022200214,2022-23
11/14/2022 Hawks at Bucks,0022200204,2022-23
11/12/2022 Hawks at 76ers,0022200188,2022-23
11/10/2022 76ers at Hawks,0022200173,2022-23
11/09/2022 Jazz at Hawks,0022200162,2022-23
11/07/2022 Bucks at Hawks,0022200149,2022-23
11/05/2022 Pelicans at Hawks,0022200134,2022-23
11/02/2022 Hawks at Knicks,0022200110,2022-23
10/31/2022 Hawks at Raptors,0022200099,2022-23
10/29/2022 Hawks at Bucks,0022200085,2022-23
10/28/2022 Hawks at Pistons,0022200070,2022-23
10/26/2022 Hawks at Pistons,0022200057,2022-23
10/23/2022 Hornets at Hawks,0022200038,2022-23
