MATCHUP,GAME_ID,SEASON
01/21/2018 Magic at Celtics,0021700683,2017-18
01/18/2018 76ers at Celtics,0021700663,2017-18
01/16/2018 Pelicans at Celtics,0021700650,2017-18
01/11/2018 Celtics at 76ers,0021700614,2017-18
01/06/2018 Celtics at Nets,0021700579,2017-18
01/05/2018 Timberwolves at Celtics,0021700570,2017-18
01/03/2018 Cavaliers at Celtics,0021700559,2017-18
12/31/2017 Nets at Celtics,0021700539,2017-18
12/28/2017 Rockets at Celtics,0021700517,2017-18
12/27/2017 Celtics at Hornets,0021700506,2017-18
12/25/2017 Wizards at Celtics,0021700495,2017-18
12/23/2017 Bulls at Celtics,0021700485,2017-18
12/21/2017 Celtics at Knicks,0021700468,2017-18
12/20/2017 Heat at Celtics,0021700456,2017-18
12/18/2017 Celtics at Pacers,0021700442,2017-18
12/16/2017 Celtics at Grizzlies,0021700436,2017-18
12/15/2017 Jazz at Celtics,0021700423,2017-18
12/13/2017 Nuggets at Celtics,0021700407,2017-18
12/11/2017 Celtics at Bulls,0021700391,2017-18
12/10/2017 Celtics at Pistons,0021700386,2017-18
12/08/2017 Celtics at Spurs,0021700374,2017-18
12/06/2017 Mavericks at Celtics,0021700356,2017-18
12/04/2017 Bucks at Celtics,0021700343,2017-18
12/02/2017 Suns at Celtics,0021700326,2017-18
11/30/2017 76ers at Celtics,0021700314,2017-18
11/27/2017 Pistons at Celtics,0021700292,2017-18
11/25/2017 Celtics at Pacers,0021700281,2017-18
11/24/2017 Magic at Celtics,0021700269,2017-18
11/22/2017 Celtics at Heat,0021700257,2017-18
11/20/2017 Celtics at Mavericks,0021700249,2017-18
11/18/2017 Celtics at Hawks,0021700230,2017-18
11/16/2017 Warriors at Celtics,0021700215,2017-18
11/14/2017 Celtics at Nets,0021700201,2017-18
11/12/2017 Raptors at Celtics,0021700188,2017-18
11/10/2017 Hornets at Celtics,0021700170,2017-18
11/08/2017 Lakers at Celtics,0021700161,2017-18
11/06/2017 Celtics at Hawks,0021700146,2017-18
11/05/2017 Celtics at Magic,0021700138,2017-18
11/03/2017 Celtics at Thunder,0021700129,2017-18
11/01/2017 Kings at Celtics,0021700109,2017-18
10/30/2017 Spurs at Celtics,0021700092,2017-18
10/28/2017 Celtics at Heat,0021700078,2017-18
10/26/2017 Celtics at Bucks,0021700067,2017-18
10/24/2017 Knicks at Celtics,0021700051,2017-18
10/20/2017 Celtics at 76ers,0021700019,2017-18
10/18/2017 Bucks at Celtics,0021700007,2017-18
10/17/2017 Celtics at Cavaliers,0021700001,2017-18
04/11/2018 Knicks at Cavaliers,0021701220,2017-18
04/09/2018 Cavaliers at Knicks,0021701207,2017-18
04/06/2018 Cavaliers at 76ers,0021701183,2017-18
04/05/2018 Wizards at Cavaliers,0021701176,2017-18
04/03/2018 Raptors at Cavaliers,0021701156,2017-18
04/01/2018 Mavericks at Cavaliers,0021701149,2017-18
03/30/2018 Pelicans at Cavaliers,0021701131,2017-18
03/28/2018 Cavaliers at Hornets,0021701116,2017-18
03/27/2018 Cavaliers at Heat,0021701110,2017-18
03/25/2018 Cavaliers at Nets,0021701094,2017-18
03/23/2018 Suns at Cavaliers,0021701080,2017-18
03/21/2018 Raptors at Cavaliers,0021701065,2017-18
