CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,0,12,1,5,240,0,39,96,0.406,7,35,0.2,14,19,0.737,11,30,53,26,19,10,11,4,99,53.0,99.0,0,0.5327868852459017,-8.0,2018-19,2018-12-15 00:00:00,21800435
Sacramento,Kings,1610612758,1,0,1,0,0,0,1,9,1,5,240,0,50,86,0.581,19,38,0.5,22,32,0.688,9,29,47,34,21,3,11,6,141,47.0,141.0,0,0.6885245901639344,11.0,2018-19,2018-12-12 00:00:00,21800414
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,0,9,1,5,240,0,50,93,0.538,9,22,0.409,21,27,0.778,12,27,48,30,24,4,11,4,130,48.0,130.0,0,0.6557377049180327,-11.0,2018-19,2018-12-12 00:00:00,21800414
Portland,Trail Blazers,1610612757,1,0,1,0,0,0,1,5,1,5,240,0,39,83,0.47,10,33,0.303,25,30,0.833,14,39,58,23,20,10,20,9,113,58.0,113.0,0,0.5535714285714286,8.0,2018-19,2018-12-08 00:00:00,21800385
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,0,6,1,5,240,0,40,91,0.44,7,16,0.438,18,22,0.818,10,30,46,25,23,12,12,7,105,46.0,105.0,0,0.5508474576271186,-8.0,2018-19,2018-12-08 00:00:00,21800385
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,0,12,1,5,240,0,48,89,0.539,12,24,0.5,13,20,0.65,10,40,62,34,15,6,15,11,121,62.0,121.0,0,0.640625,17.0,2018-19,2018-12-05 00:00:00,21800362
OPPONENTS, Hornets,1610612766,0,1,0,0,0,1,0,7,1,5,240,0,40,98,0.408,12,33,0.364,12,15,0.8,13,27,47,27,15,7,10,1,104,47.0,104.0,0,0.5491803278688525,-17.0,2018-19,2018-12-05 00:00:00,21800362
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,1,9,1,5,240,0,50,99,0.505,18,41,0.439,10,15,0.667,13,35,57,33,18,12,9,6,128,57.0,128.0,0,0.6484375,39.0,2018-19,2018-11-28 00:00:00,21800311
OPPONENTS, Spurs,1610612759,0,1,0,0,0,1,1,4,1,5,240,0,34,87,0.391,8,27,0.296,13,13,1.0,12,34,50,23,17,1,19,8,89,50.0,89.0,0,0.4871794871794871,-39.0,2018-19,2018-11-28 00:00:00,21800311
Brooklyn,Nets,1610612751,0,1,0,1,0,0,1,10,1,5,240,0,33,79,0.418,14,45,0.311,22,26,0.846,9,37,56,26,22,2,19,4,102,56.0,102.0,1,0.5130434782608696,-10.0,2018-19,2018-11-23 00:00:00,21800265
OPPONENTS, Timberwolves,1610612750,1,0,0,0,1,0,0,6,1,5,240,0,44,92,0.478,9,25,0.36,15,17,0.882,9,29,44,25,20,15,7,4,112,44.0,112.0,0,0.6,10.0,2018-19,2018-11-23 00:00:00,21800265
Minnesota,Timberwolves,1610612750,0,1,0,1,0,0,0,9,1,5,240,0,31,80,0.388,12,29,0.414,13,16,0.813,10,39,58,20,20,8,20,3,87,58.0,87.0,0,0.4636363636363636,-13.0,2018-19,2018-11-18 00:00:00,21800234
OPPONENTS, Grizzlies,1610612763,1,0,0,0,1,0,0,5,1,5,240,0,35,82,0.427,12,28,0.429,18,25,0.72,10,33,48,26,20,11,12,9,100,48.0,100.0,0,0.5545454545454546,13.0,2018-19,2018-11-18 00:00:00,21800234
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,0,5,1,5,240,0,46,92,0.5,12,28,0.429,8,11,0.727,9,34,48,28,16,11,12,4,112,48.0,112.0,0,0.6016260162601627,16.0,2018-19,2018-11-16 00:00:00,21800221
OPPONENTS, Trail Blazers,1610612757,0,1,0,0,0,1,0,10,1,5,240,0,37,88,0.42,8,29,0.276,14,20,0.7,11,37,58,16,14,6,18,1,96,58.0,96.0,0,0.4774774774774775,-16.0,2018-19,2018-11-16 00:00:00,21800221
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,0,12,1,5,240,0,42,80,0.525,10,23,0.435,26,31,0.839,9,43,64,26,17,8,23,6,120,64.0,120.0,0,0.5666666666666667,7.0,2018-19,2018-11-12 00:00:00,21800195
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,5,1,5,240,0,40,101,0.396,18,50,0.36,15,22,0.682,19,23,47,28,29,10,13,2,113,47.0,113.0,1,0.5528455284552846,-7.0,2018-19,2018-11-12 00:00:00,21800195
Sacramento,Kings,1610612758,1,0,1,0,0,0,1,8,1,5,240,0,43,95,0.453,12,32,0.375,23,29,0.793,12,37,57,25,29,7,13,6,121,57.0,121.0,0,0.5619834710743802,11.0,2018-19,2018-11-09 00:00:00,21800173
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,0,10,1,5,240,0,39,94,0.415,7,25,0.28,25,31,0.806,15,37,62,20,23,6,17,1,110,62.0,110.0,0,0.5086206896551724,-11.0,2018-19,2018-11-09 00:00:00,21800173
Portland,Trail Blazers,1610612757,1,0,1,0,0,0,1,7,1,5,240,0,38,86,0.442,7,28,0.25,28,32,0.875,17,49,73,15,20,7,17,1,111,73.0,111.0,0,0.5247524752475248,30.0,2018-19,2018-11-04 00:00:00,21800138
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,0,10,1,5,240,0,29,93,0.312,7,30,0.233,16,21,0.762,13,25,48,18,21,9,11,4,81,48.0,81.0,0,0.4311926605504587,-30.0,2018-19,2018-11-04 00:00:00,21800138
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,1,8,1,5,240,0,50,86,0.581,12,25,0.48,16,24,0.667,7,34,49,19,28,10,16,8,128,49.0,128.0,0,0.6052631578947368,3.0,2018-19,2018-10-31 00:00:00,21800107
OPPONENTS, Jazz,1610612762,0,1,0,0,0,1,0,9,1,5,240,0,47,97,0.485,13,30,0.433,18,30,0.6,20,28,57,25,22,9,14,5,125,57.0,125.0,0,0.6206896551724138,-3.0,2018-19,2018-10-31 00:00:00,21800107
Toronto,Raptors,1610612761,1,0,1,0,0,0,1,6,1,5,240,0,46,89,0.517,11,32,0.344,9,12,0.75,11,33,50,26,18,9,17,8,112,50.0,112.0,0,0.5950413223140496,7.0,2018-19,2018-10-24 00:00:00,21800055
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,1,14,1,5,240,0,40,96,0.417,15,30,0.5,10,16,0.625,16,28,58,25,17,10,16,5,105,58.0,105.0,0,0.5371900826446281,-7.0,2018-19,2018-10-24 00:00:00,21800055
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,0,12,1,5,240,0,36,85,0.424,7,33,0.212,22,24,0.917,8,39,59,24,17,9,15,12,101,59.0,101.0,0,0.5172413793103449,10.0,2018-19,2018-10-22 00:00:00,21800043
OPPONENTS, Pacers,1610612754,0,1,0,0,0,1,0,8,1,5,240,0,36,92,0.391,8,26,0.308,11,16,0.688,12,33,53,18,24,6,15,6,91,53.0,91.0,0,0.4778761061946903,-10.0,2018-19,2018-10-22 00:00:00,21800043
San Antonio,Spurs,1610612759,1,0,1,0,0,0,0,12,1,5,240,0,40,93,0.43,11,25,0.44,21,29,0.724,19,33,64,22,22,3,12,4,112,64.0,112.0,0,0.5740740740740741,4.0,2018-19,2018-10-17 00:00:00,21800010
OPPONENTS, Timberwolves,1610612750,0,1,0,0,0,1,0,6,1,5,240,0,39,91,0.429,6,19,0.316,24,27,0.889,14,32,52,20,27,9,11,2,108,52.0,108.0,1,0.5462962962962963,-4.0,2018-19,2018-10-17 00:00:00,21800010
Indiana,Pacers,1610612754,0,1,0,1,0,0,0,8,1,5,240,0,41,85,0.482,10,27,0.37,4,7,0.571,5,28,41,27,18,6,13,3,96,41.0,96.0,0,0.5666666666666667,-12.0,2018-19,2019-04-07 00:00:00,21801199
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,1,7,1,5,240,0,40,88,0.455,11,36,0.306,17,22,0.773,17,35,59,23,13,7,16,4,108,59.0,108.0,0,0.5727272727272728,12.0,2018-19,2019-04-07 00:00:00,21801199
Brooklyn,Nets,1610612751,0,1,0,1,0,0,2,6,1,5,240,0,41,86,0.477,10,32,0.313,13,21,0.619,9,44,59,23,19,3,16,2,105,59.0,105.0,0,0.5517241379310345,-10.0,2018-19,2019-04-03 00:00:00,21801169
OPPONENTS, Raptors,1610612761,1,0,0,0,1,0,0,5,1,5,240,0,44,105,0.419,15,38,0.395,12,14,0.857,17,35,57,29,16,9,7,1,115,57.0,115.0,0,0.5887096774193549,10.0,2018-19,2019-04-03 00:00:00,21801169
Philadelphia,76ers,1610612755,1,0,1,0,0,0,1,8,1,5,240,0,45,90,0.5,12,25,0.48,21,28,0.75,9,36,53,27,23,10,10,3,123,53.0,123.0,1,0.6101694915254238,13.0,2018-19,2019-03-28 00:00:00,21801123
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,14,1,5,240,0,40,90,0.444,11,32,0.344,19,29,0.655,11,34,59,25,22,4,15,3,110,59.0,110.0,0,0.5462184873949579,-13.0,2018-19,2019-03-28 00:00:00,21801123
Portland,Trail Blazers,1610612757,1,0,1,0,0,0,2,19,1,5,290,0,53,121,0.438,14,45,0.311,28,36,0.778,16,39,74,35,30,9,5,5,148,74.0,148.0,0,0.6068965517241379,4.0,2018-19,2019-03-25 00:00:00,21801106
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,10,1,5,290,0,49,103,0.476,15,42,0.357,31,44,0.705,15,44,69,25,31,3,16,4,144,69.0,144.0,3,0.5736434108527132,-4.0,2018-19,2019-03-25 00:00:00,21801106
Sacramento,Kings,1610612758,0,1,0,1,0,0,1,9,1,5,240,0,49,95,0.516,9,25,0.36,14,20,0.7,14,32,55,25,19,13,21,1,121,55.0,121.0,0,0.5826771653543307,-2.0,2018-19,2019-03-19 00:00:00,21801063
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,0,9,1,5,240,0,47,94,0.5,12,35,0.343,17,23,0.739,11,30,50,28,19,16,18,4,123,50.0,123.0,0,0.5813953488372093,2.0,2018-19,2019-03-19 00:00:00,21801063
Utah,Jazz,1610612762,1,0,1,0,0,0,0,10,1,5,240,0,39,91,0.429,13,36,0.361,23,31,0.742,15,50,75,24,21,3,15,7,114,75.0,114.0,0,0.5478260869565217,16.0,2018-19,2019-03-16 00:00:00,21801041
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,5,1,5,240,0,33,95,0.347,12,36,0.333,20,22,0.909,8,36,49,20,24,9,7,5,98,49.0,98.0,0,0.4649122807017544,-16.0,2018-19,2019-03-16 00:00:00,21801041
Oklahoma City,Thunder,1610612760,1,0,1,0,0,0,1,9,1,5,240,0,41,96,0.427,11,28,0.393,15,19,0.789,16,35,60,21,20,9,12,6,108,60.0,108.0,0,0.5486725663716814,12.0,2018-19,2019-03-13 00:00:00,21801017
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,1,11,1,5,240,0,35,84,0.417,13,35,0.371,13,19,0.684,7,36,54,19,18,7,17,5,96,54.0,96.0,0,0.4778761061946903,-12.0,2018-19,2019-03-13 00:00:00,21801017
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,12,1,5,240,0,39,79,0.494,11,31,0.355,14,22,0.636,5,48,65,21,18,9,17,4,103,65.0,103.0,0,0.5357142857142857,28.0,2018-19,2019-03-11 00:00:00,21801003
OPPONENTS, Pistons,1610612765,0,1,0,0,0,1,1,7,1,5,240,0,27,97,0.278,8,34,0.235,13,16,0.813,17,32,56,16,22,7,13,3,75,56.0,75.0,0,0.3944954128440367,-28.0,2018-19,2019-03-11 00:00:00,21801003
Brooklyn,Nets,1610612751,0,1,0,1,0,0,2,7,1,5,240,0,44,86,0.512,10,32,0.313,14,18,0.778,7,30,44,27,19,2,17,5,112,44.0,112.0,0,0.5772357723577236,-11.0,2018-19,2019-03-01 00:00:00,21800929
OPPONENTS, Hornets,1610612766,1,0,0,0,1,0,1,9,1,5,240,0,50,94,0.532,9,21,0.429,14,17,0.824,10,30,49,24,25,6,14,4,123,49.0,123.0,0,0.6065573770491803,11.0,2018-19,2019-03-01 00:00:00,21800929
Brooklyn,Nets,1610612751,0,1,0,1,0,0,0,8,1,5,240,0,39,85,0.459,8,35,0.229,30,39,0.769,7,34,49,20,27,7,16,3,116,49.0,116.0,0,0.5175438596491229,-9.0,2018-19,2019-02-27 00:00:00,21800914
OPPONENTS, Wizards,1610612764,1,0,0,0,1,0,2,6,1,5,240,0,44,96,0.458,11,37,0.297,26,31,0.839,17,40,63,34,30,10,19,4,125,63.0,125.0,0,0.5909090909090909,9.0,2018-19,2019-02-27 00:00:00,21800914
Brooklyn,Nets,1610612751,1,0,1,0,0,0,1,6,1,5,240,0,35,81,0.432,19,50,0.38,12,16,0.75,6,45,57,24,15,5,16,5,101,57.0,101.0,0,0.5130434782608696,16.0,2018-19,2019-02-25 00:00:00,21800900
OPPONENTS, Spurs,1610612759,0,1,0,0,0,1,0,8,1,5,240,0,35,96,0.365,4,24,0.167,11,12,0.917,10,37,55,14,13,6,11,6,85,55.0,85.0,0,0.4414414414414414,-16.0,2018-19,2019-02-25 00:00:00,21800900
Charlotte,Hornets,1610612766,0,1,0,1,0,0,0,12,1,5,240,0,39,86,0.453,12,35,0.343,25,30,0.833,12,30,54,15,23,4,12,5,115,54.0,115.0,1,0.5346534653465347,-2.0,2018-19,2019-02-23 00:00:00,21800884
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,1,9,1,5,240,0,40,87,0.46,17,43,0.395,20,26,0.769,11,31,51,23,26,5,13,6,117,51.0,117.0,0,0.5625,2.0,2018-19,2019-02-23 00:00:00,21800884
Brooklyn,Nets,1610612751,0,1,0,1,0,0,0,7,1,5,240,0,36,92,0.391,7,36,0.194,20,26,0.769,12,37,56,26,19,4,12,2,99,56.0,99.0,1,0.5254237288135594,-14.0,2018-19,2019-02-21 00:00:00,21800869
OPPONENTS, Trail Blazers,1610612757,1,0,0,0,1,0,1,7,1,5,240,0,46,105,0.438,7,32,0.219,14,16,0.875,19,41,67,19,21,7,14,9,113,67.0,113.0,0,0.5462184873949579,14.0,2018-19,2019-02-21 00:00:00,21800869
Toronto,Raptors,1610612761,1,0,1,0,0,0,1,12,1,5,240,0,50,92,0.543,9,31,0.29,18,20,0.9,5,35,52,32,16,12,14,3,127,52.0,127.0,0,0.6165413533834586,2.0,2018-19,2019-02-11 00:00:00,21800842
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,1,8,1,5,240,0,46,88,0.523,20,41,0.488,13,18,0.722,5,26,39,33,18,6,15,3,125,39.0,125.0,0,0.6030534351145038,-2.0,2018-19,2019-02-11 00:00:00,21800842
Orlando,Magic,1610612753,1,0,1,0,0,0,0,4,1,5,240,0,41,94,0.436,10,27,0.37,10,12,0.833,7,42,53,25,17,11,14,8,102,53.0,102.0,0,0.5238095238095238,13.0,2018-19,2019-02-02 00:00:00,21800777
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,1,13,1,5,240,0,33,91,0.363,10,38,0.263,13,16,0.813,8,42,63,23,11,6,19,2,89,63.0,89.0,0,0.448,-13.0,2018-19,2019-02-02 00:00:00,21800777
San Antonio,Spurs,1610612759,1,0,1,0,0,0,0,13,1,5,240,0,40,100,0.4,12,33,0.364,25,29,0.862,13,37,63,23,21,6,9,3,117,63.0,117.0,0,0.5294117647058824,3.0,2018-19,2019-01-31 00:00:00,21800767
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,12,1,5,240,0,42,89,0.472,11,34,0.324,19,29,0.655,5,41,58,30,23,5,14,7,114,58.0,114.0,0,0.5625,-3.0,2018-19,2019-01-31 00:00:00,21800767
Brooklyn,Nets,1610612751,1,0,1,0,0,0,1,18,1,5,240,0,34,84,0.405,9,33,0.273,32,47,0.681,18,42,78,19,21,5,20,2,109,78.0,109.0,0,0.5047619047619047,10.0,2018-19,2019-01-25 00:00:00,21800721
OPPONENTS, Knicks,1610612752,0,1,0,0,0,1,0,13,1,5,240,0,37,87,0.425,8,31,0.258,17,26,0.654,6,27,46,17,31,12,8,11,99,46.0,99.0,1,0.5094339622641509,-10.0,2018-19,2019-01-25 00:00:00,21800721
Brooklyn,Nets,1610612751,1,0,1,0,0,0,1,11,1,5,240,0,43,90,0.478,10,32,0.313,18,23,0.783,12,33,56,20,22,7,17,2,114,56.0,114.0,0,0.5478260869565217,4.0,2018-19,2019-01-23 00:00:00,21800708
OPPONENTS, Magic,1610612753,0,1,0,0,0,1,0,10,1,5,240,0,38,89,0.427,11,34,0.324,23,28,0.821,11,31,52,22,19,7,13,11,110,52.0,110.0,0,0.5309734513274337,-4.0,2018-19,2019-01-23 00:00:00,21800708
Brooklyn,Nets,1610612751,1,0,1,0,0,0,1,9,1,5,240,0,45,90,0.5,13,35,0.371,20,24,0.833,12,44,65,25,15,9,17,4,123,65.0,123.0,0,0.5833333333333334,29.0,2018-19,2019-01-21 00:00:00,21800696
OPPONENTS, Kings,1610612758,0,1,0,0,0,1,0,6,1,5,240,0,39,93,0.419,10,25,0.4,6,11,0.545,10,27,43,26,20,8,14,4,94,43.0,94.0,0,0.5284552845528455,-29.0,2018-19,2019-01-21 00:00:00,21800696
Orlando,Magic,1610612753,0,1,0,1,0,0,0,8,1,5,240,0,47,94,0.5,10,26,0.385,11,14,0.786,12,37,57,26,18,5,13,6,115,57.0,115.0,0,0.6033057851239669,-2.0,2018-19,2019-01-18 00:00:00,21800673
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,0,10,1,5,240,0,44,97,0.454,19,46,0.413,10,15,0.667,9,32,51,24,19,5,11,5,117,51.0,117.0,0,0.5528455284552846,2.0,2018-19,2019-01-18 00:00:00,21800673
Toronto,Raptors,1610612761,1,0,1,0,0,0,1,8,1,5,240,0,48,105,0.457,11,35,0.314,15,24,0.625,13,42,63,32,22,10,10,4,122,63.0,122.0,0,0.5970149253731343,17.0,2018-19,2019-01-11 00:00:00,21800624
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,10,1,5,240,0,37,88,0.42,11,30,0.367,20,30,0.667,9,45,64,20,21,4,17,4,105,64.0,105.0,0,0.4913793103448275,-17.0,2018-19,2019-01-11 00:00:00,21800624
Memphis,Grizzlies,1610612763,0,1,0,1,0,0,1,7,1,5,240,0,42,93,0.452,5,24,0.208,11,15,0.733,8,32,47,23,24,9,14,5,100,47.0,100.0,0,0.5327868852459017,-9.0,2018-19,2019-01-04 00:00:00,21800570
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,0,8,1,5,240,0,36,79,0.456,13,34,0.382,24,26,0.923,8,37,53,25,19,6,20,2,109,53.0,109.0,0,0.5258620689655172,9.0,2018-19,2019-01-04 00:00:00,21800570
Charlotte,Hornets,1610612766,1,0,1,0,0,0,1,12,1,5,240,0,41,100,0.41,11,33,0.333,7,10,0.7,12,37,61,19,22,4,9,8,100,61.0,100.0,0,0.5172413793103449,13.0,2018-19,2018-12-28 00:00:00,21800517
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,0,6,1,5,240,0,33,83,0.398,4,27,0.148,17,20,0.85,9,39,54,15,20,4,14,10,87,54.0,87.0,0,0.4660194174757281,-13.0,2018-19,2018-12-28 00:00:00,21800517
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,6,1,5,290,0,51,104,0.49,19,47,0.404,13,18,0.722,10,47,63,31,26,8,17,7,134,63.0,134.0,0,0.5774647887323944,2.0,2018-19,2018-12-26 00:00:00,21800505
OPPONENTS, Hornets,1610612766,0,1,0,0,0,1,1,8,1,5,290,0,47,106,0.443,15,31,0.484,23,30,0.767,12,41,61,26,20,8,14,3,132,61.0,132.0,0,0.5447761194029851,-2.0,2018-19,2018-12-26 00:00:00,21800505
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,11,1,5,240,0,40,85,0.471,10,27,0.37,21,33,0.636,14,35,60,25,15,7,17,4,111,60.0,111.0,0,0.5752212389380531,8.0,2018-19,2018-12-23 00:00:00,21800489
OPPONENTS, Suns,1610612756,0,1,0,0,0,1,1,4,1,5,240,0,43,89,0.483,3,17,0.176,14,16,0.875,10,31,45,24,27,10,13,5,103,45.0,103.0,0,0.5775862068965517,-8.0,2018-19,2018-12-23 00:00:00,21800489
Brooklyn,Nets,1610612751,0,1,0,1,0,0,2,10,1,5,240,0,33,72,0.458,16,31,0.516,24,34,0.706,11,30,51,28,23,5,22,3,106,51.0,106.0,0,0.5495495495495496,-8.0,2018-19,2018-12-21 00:00:00,21800471
OPPONENTS, Pacers,1610612754,1,0,0,0,1,0,1,10,1,5,240,0,44,82,0.537,11,26,0.423,15,18,0.833,6,23,39,24,26,10,12,8,114,39.0,114.0,0,0.6071428571428571,8.0,2018-19,2018-12-21 00:00:00,21800471
Brooklyn,Nets,1610612751,1,0,1,0,0,0,1,10,1,5,240,0,44,84,0.524,11,31,0.355,26,31,0.839,9,36,55,34,17,5,10,3,125,55.0,125.0,0,0.6554621848739496,7.0,2018-19,2018-12-14 00:00:00,21800422
OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,0,12,1,5,240,0,49,90,0.544,11,29,0.379,9,16,0.563,4,22,38,30,24,3,9,3,118,38.0,118.0,1,0.632,-7.0,2018-19,2018-12-14 00:00:00,21800422
Philadelphia,76ers,1610612755,0,1,0,1,0,0,0,6,1,5,240,0,50,91,0.549,12,28,0.429,12,16,0.75,10,27,43,31,30,11,17,3,124,43.0,124.0,0,0.627906976744186,-3.0,2018-19,2018-12-12 00:00:00,21800408
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,1,7,1,5,240,0,38,74,0.514,14,28,0.5,37,43,0.86,7,30,44,20,23,10,17,1,127,44.0,127.0,0,0.5576923076923077,3.0,2018-19,2018-12-12 00:00:00,21800408
New York,Knicks,1610612752,0,1,0,1,0,0,1,9,1,5,240,0,39,83,0.47,8,26,0.308,18,30,0.6,9,31,49,22,18,8,13,2,104,49.0,104.0,0,0.5596330275229358,-8.0,2018-19,2018-12-08 00:00:00,21800382
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,4,17,1,5,240,0,43,88,0.489,11,22,0.5,15,25,0.6,12,33,62,27,25,5,16,5,112,62.0,112.0,1,0.5882352941176471,8.0,2018-19,2018-12-08 00:00:00,21800382
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,6,1,5,265,0,43,98,0.439,11,35,0.314,9,13,0.692,16,44,66,22,28,8,20,2,106,66.0,106.0,0,0.5241935483870968,1.0,2018-19,2018-12-07 00:00:00,21800371
OPPONENTS, Raptors,1610612761,0,1,0,0,0,1,0,11,1,5,265,0,35,89,0.393,11,35,0.314,24,29,0.828,6,35,52,25,19,9,15,7,105,52.0,105.0,0,0.4878048780487805,-1.0,2018-19,2018-12-07 00:00:00,21800371
Brooklyn,Nets,1610612751,0,1,0,1,0,0,1,7,1,5,240,0,37,86,0.43,15,36,0.417,23,30,0.767,10,35,52,21,24,7,15,4,112,52.0,112.0,0,0.5178571428571429,-2.0,2018-19,2018-12-05 00:00:00,21800358
OPPONENTS, Thunder,1610612760,1,0,0,0,1,0,0,11,1,5,240,0,43,99,0.434,13,38,0.342,15,26,0.577,17,43,71,28,23,8,13,6,114,71.0,114.0,0,0.5772357723577236,2.0,2018-19,2018-12-05 00:00:00,21800358
Washington,Wizards,1610612764,1,0,1,0,0,0,0,10,1,5,240,0,41,79,0.519,8,26,0.308,12,18,0.667,2,36,48,19,21,8,13,3,102,48.0,102.0,0,0.5504587155963303,14.0,2018-19,2018-12-01 00:00:00,21800333
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,2,10,1,5,240,0,30,81,0.37,8,33,0.242,20,25,0.8,11,31,52,19,17,8,19,2,88,52.0,88.0,0,0.4537037037037037,-14.0,2018-19,2018-12-01 00:00:00,21800333
Brooklyn,Nets,1610612751,0,1,0,1,0,0,3,7,1,5,290,0,42,94,0.447,16,44,0.364,25,30,0.833,11,40,58,26,28,7,19,4,125,58.0,125.0,0,0.53125,-6.0,2018-19,2018-11-30 00:00:00,21800323
OPPONENTS, Grizzlies,1610612763,1,0,0,0,1,0,0,8,1,5,290,0,50,101,0.495,12,30,0.4,19,22,0.864,11,34,53,27,23,8,17,6,131,53.0,131.0,0,0.5746268656716418,6.0,2018-19,2018-11-30 00:00:00,21800323
Brooklyn,Nets,1610612751,0,1,0,1,0,0,0,10,1,5,240,0,30,86,0.349,11,30,0.367,20,28,0.714,14,34,58,11,20,12,20,5,91,58.0,91.0,1,0.3980582524271844,-10.0,2018-19,2018-11-28 00:00:00,21800308
OPPONENTS, Jazz,1610612762,1,0,0,0,1,0,0,8,1,5,240,0,39,82,0.476,9,28,0.321,14,21,0.667,8,40,56,17,25,10,19,6,101,56.0,101.0,0,0.509090909090909,10.0,2018-19,2018-11-28 00:00:00,21800308
Brooklyn,Nets,1610612751,0,1,0,1,0,0,0,5,1,5,240,0,50,88,0.568,10,25,0.4,15,20,0.75,10,33,48,19,25,2,16,4,125,48.0,125.0,1,0.6106194690265486,-2.0,2018-19,2018-11-25 00:00:00,21800289
OPPONENTS, 76ers,1610612755,1,0,0,0,1,0,0,6,1,5,240,0,44,91,0.484,12,29,0.414,27,33,0.818,13,29,48,28,22,9,9,6,127,48.0,127.0,0,0.6260869565217392,2.0,2018-19,2018-11-25 00:00:00,21800289
Washington,Wizards,1610612764,0,1,0,1,0,0,0,8,1,5,240,0,37,87,0.425,3,18,0.167,27,34,0.794,12,35,55,18,23,5,13,4,104,55.0,104.0,1,0.5188679245283019,-11.0,2018-19,2018-11-16 00:00:00,21800219
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,1,15,1,5,240,0,38,90,0.422,9,33,0.273,30,38,0.789,13,34,62,19,24,8,12,3,115,62.0,115.0,1,0.5277777777777778,11.0,2018-19,2018-11-16 00:00:00,21800219
Phoenix,Suns,1610612756,0,1,0,1,0,0,0,7,1,5,240,0,28,81,0.346,9,25,0.36,17,20,0.85,9,40,56,16,20,4,20,3,82,56.0,82.0,0,0.4074074074074074,-22.0,2018-19,2018-11-06 00:00:00,21800151
OPPONENTS, Nets,1610612751,1,0,0,0,1,0,0,5,1,5,240,0,41,92,0.446,9,36,0.25,13,19,0.684,13,39,57,22,22,9,10,5,104,57.0,104.0,0,0.5675675675675675,22.0,2018-19,2018-11-06 00:00:00,21800151
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,10,1,5,240,0,50,105,0.476,9,28,0.321,13,18,0.722,15,23,48,27,28,11,9,3,122,48.0,122.0,0,0.6111111111111112,25.0,2018-19,2018-11-04 00:00:00,21800134
OPPONENTS, 76ers,1610612755,0,1,0,0,0,1,1,10,1,5,240,0,31,65,0.477,4,20,0.2,31,41,0.756,9,37,56,16,21,6,28,1,97,56.0,97.0,0,0.47,-25.0,2018-19,2018-11-04 00:00:00,21800134
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,8,1,5,265,0,43,101,0.426,12,38,0.316,22,30,0.733,18,37,63,26,33,5,16,3,120,63.0,120.0,1,0.552,1.0,2018-19,2018-10-31 00:00:00,21800104
OPPONENTS, Pistons,1610612765,0,1,0,0,0,1,1,11,1,5,265,0,39,93,0.419,11,34,0.324,30,39,0.769,14,41,66,16,30,8,17,6,119,66.0,119.0,0,0.4910714285714285,-1.0,2018-19,2018-10-31 00:00:00,21800104
