CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,1,5,1,5,240,0,37,91,0.407,11,40,0.275,12,16,0.75,10,34,49,27,12,10,16,6,97,49.0,97.0,0,0.5161290322580645,-13.0,2017-18,2018-04-11,21701219
Washington,Wizards,1610612764,1,0,1,0,0,0,0,4,1,5,240,0,41,83,0.494,15,30,0.5,16,20,0.8,10,41,55,32,24,8,20,3,113,55.0,113.0,0,0.584,12.0,2017-18,2018-04-10,21701215
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,1,6,1,5,240,0,33,87,0.379,13,33,0.394,22,27,0.815,13,31,50,22,18,14,17,1,101,50.0,101.0,0,0.4867256637168141,-12.0,2017-18,2018-04-10,21701215
Boston,Celtics,1610612738,1,0,1,0,0,0,0,7,1,5,240,0,45,81,0.556,14,34,0.412,7,17,0.412,6,40,53,35,15,9,18,6,111,53.0,111.0,0,0.625,7.0,2017-18,2018-04-06,21701185
OPPONENTS, Bulls,1610612741,0,1,0,0,0,1,0,3,1,5,240,0,40,86,0.465,14,30,0.467,10,17,0.588,9,34,46,25,22,15,17,0,104,46.0,104.0,0,0.5462184873949579,-7.0,2017-18,2018-04-06,21701185
Toronto,Raptors,1610612761,1,0,1,0,0,0,1,8,1,5,240,0,40,92,0.435,10,33,0.303,6,8,0.75,12,36,56,23,25,10,11,6,96,56.0,96.0,0,0.5526315789473685,18.0,2017-18,2018-04-04,21701171
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,1,8,1,5,240,0,25,75,0.333,3,22,0.136,25,28,0.893,8,35,51,10,16,7,17,3,78,51.0,78.0,0,0.3723404255319149,-18.0,2017-18,2018-04-04,21701171
Milwaukee,Bucks,1610612749,1,0,1,0,0,0,0,7,1,5,240,0,43,79,0.544,5,20,0.25,15,21,0.714,9,32,48,27,23,6,15,5,106,48.0,106.0,0,0.625,4.0,2017-18,2018-04-03,21701162
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,0,5,1,5,240,0,38,81,0.469,7,23,0.304,19,24,0.792,10,27,42,19,17,10,17,6,102,42.0,102.0,0,0.5327102803738317,-4.0,2017-18,2018-04-03,21701162
Boston,Celtics,1610612738,1,0,1,0,0,0,1,8,1,5,240,0,40,88,0.455,7,17,0.412,23,27,0.852,8,33,49,19,23,6,6,3,110,49.0,110.0,0,0.5619047619047619,11.0,2017-18,2018-03-31,21701140
OPPONENTS, Raptors,1610612761,0,1,0,0,0,1,0,5,1,5,240,0,37,80,0.463,8,35,0.229,17,22,0.773,9,37,51,23,26,1,15,5,99,51.0,99.0,0,0.5504587155963303,-11.0,2017-18,2018-03-31,21701140
Utah,Jazz,1610612762,0,1,0,1,0,0,0,8,1,5,240,0,34,82,0.415,9,33,0.273,17,21,0.81,12,33,53,25,18,7,16,6,94,53.0,94.0,0,0.5315315315315315,-3.0,2017-18,2018-03-28,21701121
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,2,6,1,5,240,0,35,79,0.443,12,21,0.571,15,20,0.75,11,31,48,20,18,11,18,2,97,48.0,97.0,0,0.5188679245283019,3.0,2017-18,2018-03-28,21701121
Phoenix,Suns,1610612756,0,1,0,1,0,0,2,8,1,5,240,0,36,81,0.444,12,35,0.343,10,19,0.526,11,36,55,18,18,8,17,5,94,55.0,94.0,0,0.5142857142857142,-8.0,2017-18,2018-03-26,21701107
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,5,1,5,240,0,37,87,0.425,14,29,0.483,14,14,1.0,10,34,49,24,19,10,12,3,102,49.0,102.0,0,0.5398230088495575,8.0,2017-18,2018-03-26,21701107
Sacramento,Kings,1610612758,0,1,0,1,0,0,0,5,1,5,240,0,38,82,0.463,7,26,0.269,10,10,1.0,7,27,39,18,16,7,14,1,93,39.0,93.0,0,0.5233644859813084,-11.0,2017-18,2018-03-25,21701099
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,1,7,1,5,240,0,40,72,0.556,12,22,0.545,12,17,0.706,3,32,42,23,11,9,16,2,104,42.0,104.0,0,0.5833333333333334,11.0,2017-18,2018-03-25,21701099
Portland,Trail Blazers,1610612757,0,1,0,1,0,0,0,6,1,5,240,0,40,91,0.44,8,33,0.242,12,15,0.8,11,32,49,16,20,8,8,5,100,49.0,100.0,0,0.5384615384615384,-5.0,2017-18,2018-03-23,21701086
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,4,1,5,240,0,35,77,0.455,11,18,0.611,24,26,0.923,9,36,49,22,18,5,13,4,105,49.0,105.0,0,0.5533980582524272,5.0,2017-18,2018-03-23,21701086
