MATCHUP,GAME_ID,SEASON
05/16/2021 Rockets at Hawks,0022001066,2020-21
05/13/2021 Magic at Hawks,0022001049,2020-21
05/12/2021 Wizards at Hawks,0022001042,2020-21
05/10/2021 Wizards at Hawks,0022001026,2020-21
05/06/2021 Hawks at Pacers,0022001000,2020-21
05/05/2021 Suns at Hawks,0022000992,2020-21
05/03/2021 Trail Blazers at Hawks,0022000978,2020-21
05/01/2021 Bulls at Hawks,0022000959,2020-21
04/30/2021 Hawks at 76ers,0022000949,2020-21
04/28/2021 Hawks at 76ers,0022000934,2020-21
04/26/2021 Hawks at Pistons,0022000916,2020-21
04/25/2021 Bucks at Hawks,0022000913,2020-21
04/23/2021 Heat at Hawks,0022000898,2020-21
04/21/2021 Hawks at Knicks,0022000886,2020-21
04/20/2021 Magic at Hawks,0022000876,2020-21
04/18/2021 Pacers at Hawks,0022000861,2020-21
04/15/2021 Bucks at Hawks,0022000840,2020-21
04/13/2021 Hawks at Raptors,0022000824,2020-21
04/11/2021 Hawks at Hornets,0022000805,2020-21
04/09/2021 Bulls at Hawks,0022000791,2020-21
04/07/2021 Grizzlies at Hawks,0022000780,2020-21
04/06/2021 Pelicans at Hawks,0022000770,2020-21
04/04/2021 Warriors at Hawks,0022000759,2020-21
04/02/2021 Hawks at Pelicans,0022000742,2020-21
04/01/2021 Hawks at Spurs,0022000735,2020-21
03/30/2021 Hawks at Suns,0022000171,2020-21
03/28/2021 Hawks at Nuggets,0022000705,2020-21
03/26/2021 Hawks at Warriors,0022000692,2020-21
03/24/2021 Hawks at Kings,0022000677,2020-21
03/22/2021 Hawks at Clippers,0022000660,2020-21
03/20/2021 Hawks at Lakers,0022000640,2020-21
03/18/2021 Thunder at Hawks,0022000626,2020-21
03/16/2021 Hawks at Rockets,0022000613,2020-21
03/14/2021 Cavaliers at Hawks,0022000597,2020-21
03/13/2021 Kings at Hawks,0022000590,2020-21
03/11/2021 Hawks at Raptors,0022000570,2020-21
03/03/2021 Hawks at Magic,0022000544,2020-21
03/02/2021 Hawks at Heat,0022000538,2020-21
02/28/2021 Hawks at Heat,0022000522,2020-21
02/26/2021 Hawks at Thunder,0022000510,2020-21
02/24/2021 Celtics at Hawks,0022000490,2020-21
02/23/2021 Hawks at Cavaliers,0022000480,2020-21
02/21/2021 Nuggets at Hawks,0022000470,2020-21
02/19/2021 Hawks at Celtics,0022000451,2020-21
02/17/2021 Hawks at Celtics,0022000438,2020-21
02/15/2021 Hawks at Knicks,0022000422,2020-21
02/13/2021 Pacers at Hawks,0022000407,2020-21
02/12/2021 Spurs at Hawks,0022000397,2020-21
02/10/2021 Hawks at Mavericks,0022000384,2020-21
02/06/2021 Raptors at Hawks,0022000356,2020-21
02/04/2021 Jazz at Hawks,0022000338,2020-21
02/03/2021 Mavericks at Hawks,0022000330,2020-21
02/01/2021 Lakers at Hawks,0022000313,2020-21
01/29/2021 Hawks at Wizards,0022000290,2020-21
01/27/2021 Nets at Hawks,0022000274,2020-21
01/26/2021 Clippers at Hawks,0022000268,2020-21
01/24/2021 Hawks at Bucks,0022000254,2020-21
01/22/2021 Hawks at Timberwolves,0022000236,2020-21
01/20/2021 Pistons at Hawks,0022000219,2020-21
01/18/2021 Timberwolves at Hawks,0022000205,2020-21
01/16/2021 Hawks at Trail Blazers,0022000195,2020-21
01/15/2021 Hawks at Jazz,0022000186,2020-21
01/11/2021 76ers at Hawks,0022000153,2020-21
01/09/2021 Hawks at Hornets,0022000134,2020-21
01/06/2021 Hornets at Hawks,0022000110,2020-21
01/04/2021 Knicks at Hawks,0022000095,2020-21
01/02/2021 Cavaliers at Hawks,0022000083,2020-21
01/01/2021 Hawks at Nets,0022000072,2020-21
12/30/2020 Hawks at Nets,0022000057,2020-21
12/28/2020 Pistons at Hawks,0022000041,2020-21
12/26/2020 Hawks at Grizzlies,0022000021,2020-21
12/23/2020 Hawks at Bulls,0022000015,2020-21
05/16/2021 Celtics at Knicks,0022001073,2020-21
05/15/2021 Celtics at Timberwolves,0022001063,2020-21
05/12/2021 Celtics at Cavaliers,0022001044,2020-21
05/11/2021 Heat at Celtics,0022001032,2020-21
05/09/2021 Heat at Celtics,0022000145,2020-21
05/07/2021 Celtics at Bulls,0022000160,2020-21
05/05/2021 Celtics at Magic,0022000990,2020-21
05/02/2021 Trail Blazers at Celtics,0022000968,2020-21
04/30/2021 Spurs at Celtics,0022000950,2020-21
04/28/2021 Hornets at Celtics,0022000936,2020-21
04/27/2021 Thunder at Celtics,0022000927,2020-21
04/25/2021 Celtics at Hornets,0022000911,2020-21
04/23/2021 Celtics at Nets,0022000899,2020-21
04/22/2021 Suns at Celtics,0022000892,2020-21
04/19/2021 Bulls at Celtics,0022000869,2020-21
04/17/2021 Warriors at Celtics,0022000858,2020-21
04/15/2021 Celtics at Lakers,0022000842,2020-21
04/13/2021 Celtics at Trail Blazers,0022000828,2020-21
04/11/2021 Celtics at Nuggets,0022000806,2020-21
04/09/2021 Timberwolves at Celtics,0022000792,2020-21
04/07/2021 Knicks at Celtics,0022000778,2020-21
04/06/2021 76ers at Celtics,0022000771,2020-21
04/04/2021 Hornets at Celtics,0022000757,2020-21
04/02/2021 Rockets at Celtics,0022000738,2020-21
03/31/2021 Mavericks at Celtics,0022000723,2020-21
03/29/2021 Pelicans at Celtics,0022000708,2020-21
03/27/2021 Celtics at Thunder,0022000699,2020-21
03/26/2021 Celtics at Bucks,0022000685,2020-21
03/24/2021 Celtics at Bucks,0022000669,2020-21
03/22/2021 Celtics at Grizzlies,0022000658,2020-21
03/21/2021 Magic at Celtics,0022000167,2020-21
03/19/2021 Kings at Celtics,0022000631,2020-21
03/17/2021 Celtics at Cavaliers,0022000620,2020-21
03/16/2021 Jazz at Celtics,0022000609,2020-21
03/14/2021 Celtics at Rockets,0022000598,2020-21
03/11/2021 Celtics at Nets,0022000569,2020-21
03/04/2021 Raptors at Celtics,0022000552,2020-21
03/02/2021 Clippers at Celtics,0022000537,2020-21
02/28/2021 Wizards at Celtics,0022000524,2020-21
02/26/2021 Pacers at Celtics,0022000505,2020-21
02/24/2021 Celtics at Hawks,0022000490,2020-21
02/23/2021 Celtics at Mavericks,0022000485,2020-21
02/21/2021 Celtics at Pelicans,0022000465,2020-21
02/19/2021 Hawks at Celtics,0022000451,2020-21
